Furukawa, H	22
Fujita, Hayato	22
Doki, Yuichiro	22
DiMagno, E P	22
Crnogorac-Jurcevic, Tatjana	22
Chen, Hui	22
Canzian, Federico	22
Burlina, A	22
Buchsbaum, Donald J	22
Bardeesy, Nabeel	22
Arumugam, Thiruvengadam	22
Anderson, Michelle A	22
Aggarwal, Bharat B	22
Zheng, Wei	21
Zhang, Wei	21
Wang, Liwei	21
Vogelstein, Bert	21
Seufferlein, Thomas	21
Saur, Dieter	21
Pasquali, C	21
Park, Jeong Youp	21
Okusaka, T	21
Okai, T	21
Mukhopadhyay, Debabrata	21
Lubman, David M	21
Liu, Liang	21
Lillemoe, K D	21
Kornmann, M	21
Kilian, M	21
Kayed, Hany	21
Katz, Matthew H	21
Jin, Chen	21
Hassan, Manal M	21
Giovannucci, Edward	21
Giovannetti, Elisa	21
Esumi, Hiroyasu	21
Eloubeidi, Mohamad A	21
Dawson, David W	21
Chen, Jie	21
Awale, Suresh	21
van Eijck, Casper H J	20
Zerbi, A	20
Xu, Qinhong	20
Xiong, Henry Q	20
Winter, Jordan M	20
Wang, Kun	20
Uchida, E	20
Trichopoulos, Dimitrios	20
Tamm, Eric P	20
Syrigos, Kostas N	20
Suzuki, T	20
Sunamura, M	20
Smyrk, Thomas C	20
Sipos, Bence	20
Sho, Masayuki	20
Sasaki, Y	20
Rückert, Felix	20
Riall, Taylor S	20
Pederzoli, P	20
Olson, Sara H	20
Miyazaki, I	20
Malafa, Mokenge P	20
Liu, Tao	20
Lin, Yingsong	20
Kawakubo, Kazumichi	20
Kang, Chang Moo	20
Kami, Kazuhiro	20
Horii, A	20
Hoheisel, Jörg D	20
Hirata, Koichi	20
Herr, Ingrid	20
Hartge, Patricia	20
Han, Liang	20
Hahn, Stephan A	20
Hackert, Thilo	20
Grippo, Paul J	20
Gouma, D J	20
Goldstein, David	20
Fujii, Tsutomu	20
Cordelier, Pierre	20
Chen, Ying	20
Chen, Ru	20
Chakraborty, Subhankar	20
Ceyhan, Güralp O	20
Zhu, Yi	19
Zhao, Gang	19
Zhang, Lizhi	19
Willett, Christopher G	19
Vaysse, N	19
Tsao, Ming-Sound	19
Toyokawa, Hideyoshi	19
Takeda, Yutaka	19
Takahashi, Hidenori	19
Syrigos, Konstantinos N	19
Sund, Malin	19
Srivastava, Rakesh K	19
Smith, J P	19
Silverman, Debra T	19
Shimada, Kazuaki	19
Sherman, Stuart	19
Shankar, Sharmila	19
Sawaki, Akira	19
Sato, T	19
Safran, Howard	19
Plebani, Mario	19
Peeters, Petra H M	19
Palli, Domenico	19
Omura, Noriyuki	19
Ohkawa, Shinichi	19
Nio, Y	19
Nakata, B	19
Nakamura, Yusuke	19
Nakamura, Masafumi	19
Nakajima, Yoshiyuki	19
Moore, Malcolm J	19
Monden, Morito	19
Miyoshi, Eiji	19
Miyazaki, Masaru	19
Miyabayashi, Koji	19
Misawa, Takeyuki	19
Lynch, Henry T	19
Lomberk, Gwen	19
Li, Qiang	19
Kwon, A-Hon	19
Kurahara, Hiroshi	19
Koizumi, Masayuki	19
Kinoshita, Taira	19
Kim, Yong-Tae	19
Hiroshima, Yukihiko	19
Heeschen, Christopher	19
Hammel, Pascal	19
Grimmond, Sean M	19
Gansauge, S	19
Funel, Niccola	19
Fogar, Paola	19
Edderkaoui, Mouad	19
Dudeja, Vikas	19
Büchler, Peter	19
Brennan, Murray F	19
Boffetta, Paolo	19
Basso, Daniela	19
Zhang, Tai-Ping	18
Yu, Kai	18
You, Lei	18
Yamaguchi, Taketo	18
Yamaguchi, Hiroshi	18
Wente, Moritz N	18
Vauthey, Jean-Nicolas	18
Uwagawa, Tadashi	18
Uchida, Eiji	18
Tsunoda, T	18
Toyoda, Eiji	18
Tanaka, H	18
Tamakoshi, Akiko	18
Takeda, S	18
Takamura, Hiroyuki	18
Smith, Jill P	18
Siveke, Jens T	18
Shu, Xiao-Ou	18
Schimke, I	18
Scarpa, A	18
Sakon, Masato	18
Ramanathan, Ramesh K	18
Pezzilli, R	18
Pederzoli, Paolo	18
Pandey, Akhilesh	18
Pan, Sheng	18
Oguchi, H	18
Ogawa, M	18
McConkey, David J	18
Manabe, Tadao	18
Lynch, H T	18
Li, Yan	18
Li, Hui	18
Lee, Sung Koo	18
Lee, Kwang Hyuck	18
Kurtz, Robert C	18
Kodera, Yasuhiro	18
Kocher, Hemant M	18
Kobayashi, T	18
Kinzler, Kenneth W	18
Kinoshita, T	18
Kim, Myung-Hwan	18
Kayahara, Masato	18
Kawaguchi, Yoshiya	18
Kawa, Shigeyuki	18
Katoh, Masuko	18
Johnson, C D	18
Ito, Daisuke	18
Hostetter, Galen	18
Cui, Lin	18
Chanock, Stephen J	18
Cavallini, G	18
Boeing, Heiner	18
Bell, Richard H	18
Barber, M D	18
Abrams, Ross A	18
Zhou, Li	17
Zhang, Yuqing	17
Zhang, Yong	17
Yu, Herbert	17
Yoshimori, M	17
Yong, Ken-Tye	17
Yamashita, Y	17
Yamamoto, Keisuke	17
Yamada, Suguru	17
Yamada, Nobuya	17
White, Rebekah R	17
Wei, Daoyan	17
Wang, Hao	17
Tumino, Rosario	17
Tseng, Jennifer F	17
Trichopoulou, Antonia	17
Thompson, J C	17
Tani, Masaji	17
Tajima, Hidehiro	17
Saluja, Ashok K	17
Saeger, Hans-Detlev	17
Rustgi, Anil K	17
Rozengurt, Enrique	17
Rosemurgy, Alexander S	17
Regine, William F	17
Rachagani, Satyanarayana	17
Porta, M	17
Ohta, H	17
Nakamura, K	17
Munshi, Hidayatullah G	17
Motoo, Yoshiharu	17
Moser, A James	17
Mohri, Dai	17
Michl, Patrick	17
Matsuda, Yoko	17
Mataki, Yuko	17
Masui, Toshihiko	17
Maemura, Kosei	17
Lowenfels, A B	17
Longnecker, D S	17
Liu, Luming	17
Link, K H	17
Li, Feng	17
Levy, Michael J	17
Lee, Sang Soo	17
Kurzrock, Razelle	17
Krishnan, Sunil	17
Kornmann, Marko	17
Kikuchi, Shogo	17
Kench, James G	17
Katano, Mitsuo	17
Karikari, Collins	17
Javle, Milind	17
Ikeda, M	17
Hong, Theodore S	17
Hartwig, Werner	17
Hamada, Tsuyoshi	17
Gukovskaya, Anna S	17
Gross, Myron	17
Greenson, Joel K	17
Greenhalf, W	17
Gao, Feng	17
Fraumeni, J F	17
Esposito, I	17
Eskelinen, M	17
El-Rayes, Bassel F	17
Egami, H	17
Duan, Wanxing	17
Dong, Xiaoqun	17
Donahue, Timothy R	17
Doi, R	17
Cohen, Steven J	17
Chung, Jae Bock	17
Chen, Hao	17
Cascinu, S	17
Canto, Marcia	17
Bold, Richard J	17
Bockhorn, Maximilian	17
Bao, Ying	17
Arslan, Alan A	17
Alhava, E	17
Zhang, Hui	16
Zamboni, Giuseppe	16
Werner, J	16
Wakasugi, H	16
Wagner, M	16
Umeyama, K	16
Ueno, H	16
Togawa, Osamu	16
Tempero, M A	16
Tatsuta, M	16
Tamura, K	16
Takaori, Kyoichi	16
Takahata, Shunichi	16
Strobel, Oliver	16
Srivastava, Sanjay K	16
Sperti, Cosimo	16
Shimano, T	16
Shibamoto, Y	16
Seo, Dong Wan	16
Schwarz, Margaret A	16
Schulick, Richard	16
Schmid, R M	16
Sasson, Aaron R	16
Sarkar, F H	16
Ramachandran, Vijaya	16
Otsuji, E	16
Offerhaus, G J	16
Oettle, H	16
Nakamori, S	16
Nakaizumi, A	16
Muscarella, Peter	16
Mori, Tomohiko	16
Mori, T	16
Malats, Núria	16
Malats, N	16
Liu, Jun	16
Liu, Han	16
Lindkvist, Björn	16
Li, Xuqi	16
Li, Jia	16
Lee, Jeffrey H	16
Kobrin, M S	16
Kinoshita, Hisafumi	16
Kaur, Sukhwinder	16
Kanno, Atsushi	16
Kanda, Mitsuro	16
Jaster, Robert	16
Ito, Tetsuhide	16
Ishiwata, T	16
Homma, T	16
